System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
BZ Andromedae,,,,Y,,BZ,Andromedae,,HD 3430 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,120.4043666,-17.19972023,2.0238,M5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD Andromedae,,,,Y,,CD,Andromedae,,HD 8684 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,129.5079568,-18.06699988,2.4062,F8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE Andromedae,,,,Y,,CE,Andromedae,,HD 9008 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,129.7104572,-15.71028512,0.9179,M5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Andromedae,,,,Y,,CF,Andromedae,,HD 217921 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,100.5232375,-20.28666189,2.0046,M7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG Andromedae,,,,Y,,CG,Andromedae,,HD 224801 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,113.6493581,-16.70245367,5.5784,A0IIspSiSrHg ,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG Andromedae,,,,Y,,EG,Andromedae,,HD 4174 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Sy*,121.5360925,-22.17390575,1.6452,M2.4III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET Andromedae,,,,Y,,ET,Andromedae,,HD 219749 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,106.2483474,-14.33218133,5.537,A0VpSiSr ,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW Andromedae,,,,Y,,EW,Andromedae,,HD 220870 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,109.1409463,-11.07978268,0.5892,C7,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO Andromedae,,,,Y,,GO,Andromedae,,HD 4778 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,122.7214035,-17.86902439,9.6184,A3VpSiSrCrEuKsn ,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR Andromedae,,,,Y,,GR,Andromedae,,HD 2453 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,117.3276674,-30.18401681,5.7439,A5VpSiSrCr ,,,,,,,,,,,,,,,,,,,,,,,,,,,
GY Andromedae,,,,Y,,GY,Andromedae,,HD 9996 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,131.5334774,-16.68407408,7.1093,A2:VpSiSrCrEu ,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN Andromedae,,,,Y,,HN,Andromedae,,HD 8441 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,129.2777271,-19.32421102,3.3873,A4VpSrSi ,,,,,,,,,,,,,,,,,,,,,,,,,,,
