System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
KK Andromedae,,,,Y,,KK,Andromedae,,HD 9531 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,132.3158677,-24.85275889,5.1347,B9IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZ Andromedae,,,,Y,,KZ,Andromedae,,HD 218738 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,BY*,105.903702,-11.52985367,32.8547,K2-Ve ,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR Andromedae,,,,Y,,LR,Andromedae,,HD 1826 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,115.5048323,-33.00458564,7.6629,A5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP Andromedae,,,,Y,,OP,Andromedae,,HD 9746 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,RG*,130.5398826,-13.48287041,6.339,K1III: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
OQ Andromedae,,,,Y,,OQ,Andromedae,,HD 10388 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,133.4970872,-22.41733298,1.7851,M3III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
OT Andromedae,,,,Y,,OT,Andromedae,,HD 219989 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,105.2002018,-17.9477626,4.0817,A0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
OU Andromedae,,,,Y,,OU,Andromedae,,HD 223460 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,109.2831432,-24.80433233,7.2647,G1IIICaIIem ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS Andromedae,,,,Y,,PS,Andromedae,,HD 3648 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,120.3814464,-24.58968429,1.4693,M6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV Andromedae,,,,Y,,PV,Andromedae,,HD 224166 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,112.9918556,-15.43359281,2.9238,~ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW Andromedae,,,,Y,,PW,Andromedae,,HD 1405 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,RS*,114.6220278,-31.3811149,35.3726,K0Ve ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PY Andromedae,,,,Y,,PY,Andromedae,,HD 3322 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,118.8086116,-35.49604082,4.5285,B8.5IIIpHgMn ,,,,,,,,,,,,,,,,,,,,,,,,,,,
QU Andromedae,,,,Y,,QU,Andromedae,,HD 7205 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,RS*,127.2650377,-21.03510416,22.2254,G5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
QV Andromedae,,,,Y,,QV,Andromedae,,HD 7546 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,127.2366689,-14.58067598,2.938,B9III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Andromedae,,,,Y,,R,Andromedae,,HD 1967 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,117.0733795,-23.98274804,2.6444,S5-7/4-5e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR Andromedae,,,,Y,,RR,Andromedae,,HD 4895 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,122.9202117,-28.495,0.7163,S6-7/3-3.5e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Andromedae,,,,Y,,RS,Andromedae,,HD 224126 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,113.4683651,-13.20038981,2.5944,O-rich ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW Andromedae,,,,Y,,RW,Andromedae,,HD 4489 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,121.9284927,-30.17809105,1.4373,S6/2e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Andromedae,,,,Y,,SS,Andromedae,,HD 218942 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,108.0511884,-7.073252351,1.6594,M7-II: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST Andromedae,,,,Y,,ST,Andromedae,,HD 222241 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,106.7468138,-24.80429136,0.4614,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU Andromedae,,,,Y,,SU,Andromedae,,HD 225217 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,114.0099667,-18.507657,0.7254,C-N5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SV Andromedae,,,,Y,,SV,Andromedae,,HD 225192 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,113.249072,-21.87451625,0.9045,M5-7e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Andromedae,,,,Y,,T,Andromedae,,HD 1795 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,114.9856633,-35.42704793,0.5913,M5.5-7.5e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU Andromedae,,,,Y,,TU,Andromedae,,HD 2890 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,117.5941942,-36.64471404,0.9435,M6e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
TY Andromedae,,,,Y,,TY,Andromedae,,HD 219346 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,103.852907,-18.46758133,1.4641,M5-6IIIe ,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZ Andromedae,,,,Y,,TZ,Andromedae,,HD 223608 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,112.4475143,-14.12694244,1.3383,M5-6III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
U Andromedae,,,,Y,,U,Andromedae,,HD 7482 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,127.842572,-21.92325925,0.5691,M6e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
UY Andromedae,,,,Y,,UY,Andromedae,,HD 16326 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,144.603307,-19.15940634,0.3161,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZ Andromedae,,,,Y,,UZ,Andromedae,,HD 7540 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,127.868828,-20.88497872,0.7337,M7e: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Andromedae,,,,Y,,V,Andromedae,,HD 4779 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,122.6274884,-27.21816853,0.4101,M2.5-4.5e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V343 Andromedae,,,,Y,,V343,Andromedae,,HD 640 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,113.0244261,-29.84591751,2.4426,M7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V344 Andromedae,,,,Y,,V344,Andromedae,,HD 691 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,BY*,112.7894491,-31.63191257,29.3427,K0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V345 Andromedae,,,,Y,,V345,Andromedae,,HD 775 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,115.4962682,-18.48722379,1.3733,~ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V346 Andromedae,,,,Y,,V346,Andromedae,,HD 928 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP?,114.6139022,-25.40342328,1.1974,K5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V348 Andromedae,,,,Y,,V348,Andromedae,,HD 1082 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,116.1264074,-18.19026161,2.4209,B9V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V350 Andromedae,,,,Y,,V350,Andromedae,,HD 2189 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,117.1685561,-26.76812604,4.4203,A3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V356 Andromedae,,,,Y,,V356,Andromedae,,HD 4181 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP?,121.4130628,-26.24921152,1.0336,M1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V360 Andromedae,,,,Y,,V360,Andromedae,,HD 6262 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,125.6333712,-24.11691495,2.1002,M3III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V361 Andromedae,,,,Y,,V361,Andromedae,,HD 6859 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,126.8931065,-24.60628092,4.1796,F0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V364 Andromedae,,,,Y,,V364,Andromedae,,HD 9344 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,130.4677901,-16.63960596,0.8464,~ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V365 Andromedae,,,,Y,,V365,Andromedae,,HD 9800 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,130.6696928,-13.87390116,5.9354,kF2hF3mF5IIIEuSrBa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V366 Andromedae,,,,Y,,V366,Andromedae,,HD 10465 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,131.7032672,-13.47170394,0.5044,M2Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V370 Andromedae,,,,Y,,V370,Andromedae,,HD 11979 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,135.1204058,-15.8377584,7.0966,M8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V373 Andromedae,,,,Y,,V373,Andromedae,,HD 12743 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,138.1353183,-20.9073898,6.5047,F0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V375 Andromedae,,,,Y,,V375,Andromedae,,HD 15594 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,138.9618613,-9.531399724,2.456,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V376 Andromedae,,,,Y,,V376,Andromedae,,HD 15922 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,139.5513634,-9.633627171,5.6298,A4V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V379 Andromedae,,,,Y,,V379,Andromedae,,HD 218325 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Pu*,104.9445882,-12.25207826,0.8669,B2.5IIIe ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V381 Andromedae,,,,Y,,V381,Andromedae,,HD 218609 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,101.9854979,-19.7521543,3.2511,A0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V382 Andromedae,,,,Y,,V382,Andromedae,,HD 218754 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,103.8313574,-16.24098808,1.9356,A0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V385 Andromedae,,,,Y,,V385,Andromedae,,HD 220524 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,105.9048848,-18.35475892,2.3076,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V387 Andromedae,,,,Y,,V387,Andromedae,,HD 220719 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,110.0880694,-7.738379258,2.9129,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V390 Andromedae,,,,Y,,V390,Andromedae,,HD 221588 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,109.012185,-14.61570594,2.889,M0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V396 Andromedae,,,,Y,,V396,Andromedae,,HD 223661 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,112.5599785,-14.17445409,4.614,F0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V399 Andromedae,,,,Y,,V399,Andromedae,,HD 223835 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,111.291699,-20.20147559,2.3971,M2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V400 Andromedae,,,,Y,,V400,Andromedae,,HD 224575 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB?,112.3259281,-20.99639351,4.7373,A5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V406 Andromedae,,,,Y,,V406,Andromedae,,HD 15965 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,141.1810315,-13.22045977,0.8178,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V419 Andromedae,,,,Y,,V419,Andromedae,,HD 13079 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,138.8308664,-20.87166017,5.5125,~ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V428 Andromedae,,,,Y,,V428,Andromedae,,HD 3346 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,120.1780884,-18.30473654,4.724,K6IIIa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V436 Andromedae,,,,Y,,V436,Andromedae,,HD 14437 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,139.8888352,-16.95802147,4.2595,B9pSrCrEu ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V443 Andromedae,,,,Y,,V443,Andromedae,,HD 6963 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,BY*,126.6771619,-19.79981065,37.0946,G7V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V446 Andromedae,,,,Y,,V446,Andromedae,,HD 8583 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,128.9616014,-15.35191942,4.235,G4III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V450 Andromedae,,,,Y,,V450,Andromedae,,HD 13507 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,BY*,139.2085997,-19.61400489,37.8945,G5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V529 Andromedae,,,,Y,,V529,Andromedae,,HD 8801 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,gD*,130.2001348,-21.26188054,18.7624,A7m ,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX Andromedae,,,,Y,,VX,Andromedae,,HD 1546 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,117.0550666,-17.80215854,1.5764,C-J4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Andromedae,,,,Y,,W,Andromedae,,HD 14028 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,138.7778939,-15.90120125,2.2125,S7-8/1e-M7Se ,,,,,,,,,,,,,,,,,,,,,,,,,,,
X Andromedae,,,,Y,,X,Andromedae,,HD 1167 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,116.7058598,-15.43247546,0.5031,S2.5-5/6-7e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y Andromedae,,,,Y,,Y,Andromedae,,HD 10112 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,132.9977404,-22.58523064,0.5575,M3-4.5e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z Andromedae,,,,Y,,Z,Andromedae,,HD 221650 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Sy*,109.9792129,-12.0876655,0.4866,M2III+B1eq ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alpha,,,,,Antlia,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Beta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Gamma,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Delta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Epsilon,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Zeta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Eta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Theta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Iota,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Kappa,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Lambda,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Mu,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Nu,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Xi,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Omicron,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Pi,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Rho,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Sigma,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Tau,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Upsilon,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Phi,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Chi,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Psi,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Omega,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Paradys,,Alpha,,,,,Apodis,,HD 129078,,HR 5470,HIP 72370 ,SAO 257193 ,,Gaia DR3 5773473920382493440,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Paradys, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},K3IIICN0.5 , , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , , ,,,
,,Beta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Gamma,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Delta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Epsilon,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Zeta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Eta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Theta,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Iota,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Kappa,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Lambda,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Mu,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Nu,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Xi,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Omicron,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Pi,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Rho,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
,,Sigma,,,,,,,,,,,,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,,,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
