designation,l,b,parallax,phot_g_mean_mag,bp_rp,bp_g,g_rp,teff_gspphot,mh_gspphot,logg_gspphot,SIMBAD_ID,Spectral_Type,Object_Type,distance,adjusted_mag,X,Y,Z,Sector_Reference,label_name
Gaia DR3 250312244498565632,149.95840717649872,-3.6634925713731294,12.981950522328505,15.108307,2.6045609,1.4328346,1.1717262,,,,,,,77.03002705795517,4.900255811585996,-66.54572107968481,38.48462719608318,-4.921945155382468,R7-S4-D1,
Gaia DR3 416701579648778368,123.15041647796384,-10.401867660223047,12.982112303713969,17.212713,3.486454,2.1530285,1.3334255,,,,Gaia DR3 416701579648778368,,PM*,77.02906711983354,7.004724478131765,-41.43023084614377,63.43176873156562,-13.907691000746057,R5-S7-D2,Gaia DR3 416701579648778368
Gaia DR3 1497436125799224960,85.95709199386417,71.0475507209621,12.988947709703002,12.044597,1.7611055,0.85360336,0.9075022,4299.1543,0.5008,4.6269,Gaia DR3 1497436125799224960,,PM*,76.98853073778872,1.8392398405182124,1.7629116637230158,24.94236906290479,72.81486272155705,C1-S3-U8,Gaia DR3 1497436125799224960
Gaia DR3 1546914836246683520,140.6666541183999,64.67118268618314,12.988502152148705,14.932236,2.7513494,1.5349464,1.216403,,,,Gaia DR3 1546914836246683520,,PM*,76.99117175220768,4.726707369184446,-25.47643839471655,20.87699530137577,69.58981737067923,R3-S3-U7,Gaia DR3 1546914836246683520
Gaia DR3 1639676680908861184,97.01986040925738,46.35747720011933,12.987600298248982,12.323643,1.8354082,0.8988514,0.9365568,4174.7114,0.2866,4.6586,UCAC4 760-045567,,PM*,76.99651798914864,2.1177671961279216,-6.494378907982725,52.74132799833474,55.7192888147804,R1-S6-U6,UCAC4 760-045567
Gaia DR3 1988307010353726976,102.14596355077008,-6.656870246702613,12.9805931785833,20.741796,1.0525646,0.5357132,0.5168514,,,,Gaia DR3 1988307010353726976,,WD?,77.03808186900899,10.533222611891627,-16.099756725387042,74.80581659806904,-8.930492401628552,R2-S8-D1,Gaia DR3 1988307010353726976
Gaia DR3 2456333440585494912,152.6062843228422,-74.40811515842819,12.987318840296462,18.473804,0.63749886,0.25104904,0.3864498,,,,GALEX J012253.0-132235,DA,WD*,76.99818663858821,8.267820581706333,-18.375124658566744,9.52220314234457,-74.1647031055132,R2-S1-D8,GALEX J012253.0-132235
Gaia DR3 5601244426150226816,244.11167007437686,1.3191142869841186,12.98502589497549,20.530735,1.7139759,-1.1083603,2.8223362,,,,,,,77.0117832716026,10.323868282603387,-33.61586256033687,-69.26503774748222,1.7728769942363396,R4-T7-U1,
Gaia DR3 48016639154488320,177.22719395538599,-20.233551145933482,12.987208271558032,19.821772,2.4434795,0.9547596,1.4887199,,,,,,,76.99884217534253,9.615745161390489,-72.16270826166549,3.4950139501623108,-26.629872515151753,R8-S1-D3,
Gaia DR3 5707523357520855936,240.52668815884687,9.190158377904758,12.98480489402553,20.613375,1.6637363,0.15864944,1.5050869,,,,,,,77.01309400960753,10.406422877706765,-37.40544557869038,-66.185814813114,12.299886483885002,R4-T7-U2,
Gaia DR3 6297088325623964544,331.4501077106646,41.38510370882998,12.987457074386054,11.214538,1.4054747,0.6362972,0.76917744,,,,,,,76.99736709599652,1.0086069469617414,50.745078305549775,-27.609571284907798,50.90425464480218,C6-T3-U6,
Gaia DR3 6027565182095082368,351.02300135637995,7.468225035848052,12.985742484572874,20.216557,1.3601532,0.086717606,1.2734356,,,,,,,77.00753354596435,10.00996573740694,75.41902706683973,-11.914165924428344,10.009157279677046,C8-T2-U2,
Gaia DR3 4111931256029156096,357.3359635203375,8.526618971132585,12.98647569211193,20.095306,1.2226181,0.38578796,0.83683014,,,,,,,77.00318575326841,9.888997889370113,76.06977450998856,-3.539507106722355,11.417176165467398,C8-T1-U2,
Gaia DR3 4125501462895518848,358.58074245872365,12.29282804977293,12.981510375776969,19.779488,1.2077465,0.09224701,1.1154995,,,,,,,77.03263881111738,9.57126701130593,75.24336226100706,-1.8642133370514744,16.400871516382455,C8-T1-U2,
Gaia DR3 4068385166813934720,3.928695484667683,3.2330307585815947,12.981752360148235,19.231012,2.3348045,0.9464474,1.3883572,,,,,,,77.03120289598417,9.02288494840767,76.72787305083558,5.269389209918302,4.34433585850974,C8-S1-U1,
Gaia DR3 4143805033023051648,11.1205069855059,3.050661056704912,12.98481445276236,20.232656,,,,,,,,,,77.01303731662199,10.025708327243729,75.45992864396261,14.83269915731069,4.098551145001857,C8-S2-U1,
Gaia DR3 4154902403842850048,21.23686762184779,-0.805939837501867,12.983189460539007,20.532175,2.8440304,1.0813503,1.76268,,,,,,,77.02267636464762,10.324601145358315,71.78503471366491,27.896733403775414,-1.0833886328790585,C8-S3-D1,
Gaia DR3 4157838477826187648,20.747896741936888,3.4825249000633467,12.983471735808632,19.030748,2.7478733,1.4069538,1.3409195,,,,,,,77.02100180508603,8.823283155382937,71.89304698040547,27.234821071750336,4.678572017402639,C8-S3-U1,
Gaia DR3 4172265650936692608,21.902587967710634,8.447308322815097,12.98456696609483,18.931381,2.0895634,0.8287029,1.2608604,,,,,,,77.01450518998361,8.72433777453983,70.68035808399618,28.417030287760475,11.313415947475503,C8-S3-U2,
Gaia DR3 4252117579819523072,26.62380611823615,-3.9835274733950903,12.982853602578533,19.228199,,,,,,,,,,77.0246688910818,9.020495741330382,68.69124273304281,34.43371733545673,-5.350878435625661,C7-S4-D1,
